customer_id,first_name,last_name,email,gender,age,country,city,signup_date,customer_segment
1,Customer000001,User000001,customer000001@example.com,Female,33,Turkey,Istanbul,2021-11-14,Standard
2,Customer000002,User000002,customer000002@example.com,Female,40,Italy,Rome,2024-12-26,Standard
3,Customer000003,User000003,customer000003@example.com,Female,26,France,Paris,2025-07-20,Standard
4,Customer000004,User000004,customer000004@example.com,Female,62,Azerbaijan,Baku,2022-12-02,Standard
5,Customer000005,User000005,customer000005@example.com,Male,35,United States,New York,2023-06-25,Standard
6,Customer000006,User000006,customer000006@example.com,Male,36,Spain,Madrid,2021-05-16,Standard
7,Customer000007,User000007,customer000007@example.com,Female,29,United Kingdom,London,2023-08-14,Standard
8,Customer000008,User000008,customer000008@example.com,Male,40,United States,New York,2023-05-24,Standard
9,Customer000009,User000009,customer000009@example.com,Male,33,Azerbaijan,Baku,2022-07-05,Silver
10,Customer000010,User000010,customer000010@example.com,Female,31,Germany,Berlin,2024-03-05,Standard
11,Customer000011,User000011,customer000011@example.com,Male,18,Kazakhstan,Almaty,2025-03-19,Silver
12,Customer000012,User000012,customer000012@example.com,Male,45,UAE,Dubai,2022-11-07,Silver
13,Customer000013,User000013,customer000013@example.com,Female,27,Azerbaijan,Baku,2025-12-09,Silver
14,Customer000014,User000014,customer000014@example.com,Male,40,United Kingdom,London,2024-09-12,Standard
15,Customer000015,User000015,customer000015@example.com,Male,43,France,Paris,2024-10-05,Standard
16,Customer000016,User000016,customer000016@example.com,Male,40,Turkey,Istanbul,2024-03-03,Silver
17,Customer000017,User000017,customer000017@example.com,Female,28,Spain,Madrid,2025-12-10,Standard
18,Customer000018,User000018,customer000018@example.com,Male,25,Spain,Madrid,2022-09-25,Silver
19,Customer000019,User000019,customer000019@example.com,Female,36,France,Paris,2024-10-02,Gold
20,Customer000020,User000020,customer000020@example.com,Female,52,Spain,Madrid,2025-05-13,Standard
21,Customer000021,User000021,customer000021@example.com,Male,46,Azerbaijan,Baku,2022-12-28,Standard
22,Customer000022,User000022,customer000022@example.com,Female,32,Germany,Berlin,2021-08-07,Standard
23,Customer000023,User000023,customer000023@example.com,Female,26,United Kingdom,London,2025-01-03,Silver
